,Company,Valuation ($B),Country,City,Industry,Select Inverstors,Founded Year,Financial Stage,Investors Count,Deal Terms,Year Joined,Total Raised ($B),years_to_unicorn,Select_Inverstor_1
0,Bytedance,140.0,China,Beijing,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",2012,IPO,28,8,2017,7.44,5,"['Sequoia Capital China', ' SIG Asia Investments', ' Sina Weibo', ' Softbank Group']"
1,SpaceX,100.3,United States,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",2002,None,29,12,2012,6.874,10,"['Founders Fund', ' Draper Fisher Jurvetson', ' Rothenberg Ventures']"
2,Stripe,95.0,United States,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG",2010,Asset,39,12,2014,2.901,4,"['Khosla Ventures', ' LowercaseCapital', ' capitalG']"
3,Klarna,45.6,Sweden,Stockholm,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic",2005,Acquired,56,13,2011,3.472,6,"['Institutional Venture Partners', ' Sequoia Capital', ' General Atlantic']"
4,Epic Games,42.0,United States,Cary,Other,"Tencent Holdings, KKR, Smash Ventures",1991,Acquired,25,5,2018,4.377,27,"['Tencent Holdings', ' KKR', ' Smash Ventures']"
5,Canva,40.0,Australia,Surry Hills,Internet software & services,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",2012,None,26,8,2018,0.57126,6,"['Sequoia Capital China', ' Blackbird Ventures', ' Matrix Partners']"
6,Checkout.com,40.0,United Kingdom,London,Fintech,"Tiger Global Management, Insight Partners, DST Global",2012,None,15,4,2019,1.83,7,"['Tiger Global Management', ' Insight Partners', ' DST Global']"
7,Instacart,39.0,United States,San Francisco,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2012,None,29,12,2014,2.686,2,"['Khosla Ventures', ' Kleiner Perkins Caufield & Byers', ' Collaborative Fund']"
8,Databricks,38.0,United States,San Francisco,Data management & analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",2013,None,29,8,2019,3.497,6,"['Andreessen Horowitz', ' New Enterprise Associates', ' Battery Ventures']"
9,Revolut,33.0,United Kingdom,London,Fintech,"index Ventures, DST Global, Ribbit Capital",2015,None,31,6,2018,1.716,3,"['index Ventures', ' DST Global', ' Ribbit Capital']"
10,FTX,32.0,Bahamas,Fintech,"Sequoia Capital, Thoma Bravo, Softbank",None,2018,Acq,40,3,2021,1.829,3,['None']
11,Fanatics,27.0,United States,Jacksonville,E-commerce & direct-to-consumer,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",1995,None,21,10,2012,4.19,17,"['SoftBank Group', ' Andreessen Horowitz', ' Temasek Holdings']"
12,Chime,25.0,United States,San Francisco,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew",2013,Divestiture,24,9,2019,2.599,6,"['Forerunner Ventures', ' Crosslink Capital', ' Homebrew']"
13,BYJU's,21.0,India,Bengaluru,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",2008,None,45,19,2017,5.183,9,"['Tencent Holdings', ' Lightspeed India Partners', ' Sequoia Capital India']"
14,Xiaohongshu,20.0,China,Shanghai,E-commerce & direct-to-consumer,"GGV Capital, ZhenFund, Tencent",2013,None,9,3,2016,0.9175,3,"['GGV Capital', ' ZhenFund', ' Tencent']"
15,J&T Express,20.0,Indonesia,Jakarta,"Supply chain, logistics, & delivery","Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",2015,None,9,3,2021,4.653,6,"['Hillhouse Capital Management', ' Boyu Capital', ' Sequoia Capital China']"
16,Miro,17.5,United States,San Francisco,Internet software & services,"Accel, AltaIR Capital, Technology Crossover Ventures",2011,None,18,1,2022,0.475,11,"['Accel', ' AltaIR Capital', ' Technology Crossover Ventures']"
17,Yuanfudao,15.5,China,Beijing,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital",2012,Acquired,18,7,2017,4.044,5,"['Tencent Holdings', ' Warbug Pincus', ' IDG Capital']"
18,DJI Innovations,15.0,China,Shenzhen,Hardware,"Accel Partners, Sequoia Capital",2006,None,7,3,2015,1.135,9,"['Accel Partners', ' Sequoia Capital']"
19,SHEIN,15.0,China,Shenzhen,E-commerce & direct-to-consumer,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",2008,None,8,3,2018,0.55336,10,"['Tiger Global Management', ' Sequoia Capital China', ' Shunwei Capital Partners']"
20,goPuff,15.0,United States,Philadelphia,E-commerce & direct-to-consumer,"Accel, Softbank Group, Anthos Capital",2013,None,16,4,2020,3.397,7,"['Accel', ' Softbank Group', ' Anthos Capital']"
21,Yuanqi Senlin,15.0,China,Beijing,Consumer & retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",2016,None,13,3,2020,0.7213099999999999,4,"['Sequoia Capital China', ' Longfor Capitalm', ' Gaorong Capital']"
22,Ripple,15.0,United States,San Francisco,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners",2012,Acq,34,5,2019,0.2939,7,"['IDG Capital', ' Venture51', ' Lightspeed Venture Partners']"
23,Plaid,13.4,United States,San Francisco,Fintech,"New Enterprise Associates, Spar Capital, Index Ventures",2012,None,24,5,2018,0.7348,6,"['New Enterprise Associates', ' Spar Capital', ' Index Ventures']"
24,OpenSea,13.3,United States,New York,E-commerce & direct-to-consumer,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",2017,None,26,2,2021,0.42512,4,"['Andreessen Horowitz', ' Thirty Five Ventures', ' Sound Ventures']"
25,Grammarly,13.0,United States,San Francisco,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital",2009,None,8,3,2019,0.4,10,"['General Catalyst', ' Institutional Venture Partners', ' Breyer Capital']"
26,Devoted Health,12.6,United States,Waltham,Health,"Andreessen Horowitz, F-Prime Capital, Venrock",2017,None,16,4,2018,1.969,1,"['Andreessen Horowitz', ' F-Prime Capital', ' Venrock']"
27,Faire,12.4,United States,San Francisco,Artificial intelligence,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2017,None,14,6,2019,1.096,2,"['Khosla Ventures', ' Forerunner Ventures', ' Sequoia Capital']"
28,Brex,12.3,United States,San Francisco,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management",2017,None,28,7,2018,1.49,1,"['DST Global', ' Ribbit Capital', ' Greenoaks Capital Management']"
29,JUUL Labs,12.0,United States,San Francisco,Consumer & retail,Tiger Global Management,2015,None,28,7,2017,1.49,2,['Tiger Global Management']
30,Bitmain Technologies,12.0,China,Beijing,Hardware,"Coatue Management, Sequoia Capital China, IDG Capital",2015,None,28,7,2018,1.49,3,"['Coatue Management', ' Sequoia Capital China', ' IDG Capital']"
31,Biosplice Therapeutics,12.0,United States,San Diego,Health,"Vickers Venture Partners, IKEA GreenTech",2008,None,10,1,2018,0.5615,10,"['Vickers Venture Partners', ' IKEA GreenTech']"
32,GoodLeap,12.0,United States,Roseville,Internet software & services,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",2003,None,8,1,2021,1.8,18,"['New Enterprise Associates', ' BDT Capital Partners', ' Davidson Kempner Capital Management']"
33,Airtable,11.7,United States,San Francisco,Internet software & services,"Caffeinated Capital, CRV, Founder Collective",2013,None,41,6,2018,1.353,5,"['Caffeinated Capital', ' CRV', ' Founder Collective']"
34,ZongMu Technology,11.4,China,Shanghai,Auto & transportation,"LTW Capital, Legend Capital, Qualcomm Ventures",2013,None,19,2,2021,0.21083000000000002,8,"['LTW Capital', ' Legend Capital', ' Qualcomm Ventures']"
35,Global Switch,11.1,United Kingdom,London,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",1998,None,6,2,2016,6.255,18,"['Aviation Industry Corporation of China', ' Essence Financial', ' Jiangsu Sha Steel Group']"
36,Celonis,11.0,Germany,Munich,Data management & analytics,"Accel, 83North",2011,None,13,4,2018,1.368,7,"['Accel', ' 83North']"
37,Bolt,11.0,United States,San Francisco,Fintech,"Activant Capital, Tribe Capital, General Atlantic",2014,None,37,3,2021,0.963,7,"['Activant Capital', ' Tribe Capital', ' General Atlantic']"
38,Alchemy,10.2,United States,San Francisco,Fintech,"DFJ Growth Fund, Coatue Management, Addition",2017,None,27,3,2021,0.545,4,"['DFJ Growth Fund', ' Coatue Management', ' Addition']"
39,Weilong,10.88,China,Luohe,Consumer & retail,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",1999,None,7,1,2021,0.55974,22,"['Tencent Holdings', ' Hillhouse Capital Management', ' Yunfeng Capital']"
40,Swiggy,10.7,India,Bengaluru,"Supply chain, logistics, & delivery","Accel India, SAIF Partners, Norwest Venture Partners",2014,Acquired,36,12,2018,3.571,4,"['Accel India', ' SAIF Partners', ' Norwest Venture Partners']"
41,Lalamove,10.0,Hong Kong,Cheung Sha Wan,"Supply chain, logistics, & delivery","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2013,None,15,5,2019,2.475,6,"['MindWorks Ventures', ' Shunwei Capital Partners', ' Xiang He Capital']"
42,Figma,10.0,United States,San Francisco,Internet software & services,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",2012,None,20,6,2020,0.3335,8,"['Index Ventures', ' Greylock Partners', ' Kleiner Perkins Caufield & Byers']"
43,Gusto,10.0,United States,San Francisco,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",2011,None,70,9,2015,0.69112,4,"['General Catalyst Partners', ' Google Ventures', ' Kleiner Perkins Caufield & Byers']"
44,reddit,10.0,United States,San Francisco,Internet software & services,"Y Combinator, Sequoia Capital, Coatue Management",2005,Acquired,33,5,2017,1.326,12,"['Y Combinator', ' Sequoia Capital', ' Coatue Management']"
45,Talkdesk,10.0,United States,San Francisco,Internet software & services,"DJF, Salesforce Ventures, Storm Ventures",2011,None,19,6,2018,0.5047699999999999,7,"['DJF', ' Salesforce Ventures', ' Storm Ventures']"
46,Notion Labs,10.0,United States,San Francisco,Internet software & services,"Index Ventures, Draft Ventures, Felicis Ventures",2016,None,17,3,2020,0.342,4,"['Index Ventures', ' Draft Ventures', ' Felicis Ventures']"
